rick,ricky,rich,richy,richie,dick,ricky
bob,bobby,,,,,
sue,suzie,suse,,,,
belle,bel,bell,,,,
john,jon,jonny,johhny,,,
alex,alec,,,,,
arch,archie,,,,,
bart,bat,,,,,
becca,becky,,,,,
cassie,cass,,,,,
kat,cat,,,,,
clara,,,,,,
ellen,elle,,,,,
franky,frankie,,,,,
larry,lar,,,,,
newy,,,,,,
jen,jenny,jeni,jenni,,,
willie,willy,will,,,,
kay,cat,kitty,kit,,,
julie,jules,jewels,,,,
ginny,,,,,,
riles,,,,,,
tom,tommy,thom,,,,
liz,liza,lisa,,,,
bar,barb,,,,,
tym,tim,timmy,,,,
jay,,,,,,
chuck,chucky,,,,,
nic,nick,,,,,
rose,,,,,,
mary,mare,,,,,
